id,DATE,MONTH
-1.7319753385896224,-1.7076630020592036,-1.5999635262861054
-1.7318243973426322,-1.7076574887515437,-1.5999635262861054
-1.7316734560956417,-1.7076519754438837,-1.5999635262861054
-1.7315225148486515,-1.7076464621362237,-1.5999635262861054
-1.7313715736016613,-1.7076409488285638,-1.5999635262861054
-1.731220632354671,-1.7076354355209036,-1.5999635262861054
-1.7310696911076808,-1.7076299222132436,-1.5999635262861054
-1.7309187498606906,-1.7076244089055836,-1.5999635262861054
-1.7307678086137004,-1.7076188955979237,-1.5999635262861054
-1.7306168673667102,-1.7076133822902635,-1.5999635262861054
-1.7304659261197197,-1.7076078689826035,-1.5999635262861054
-1.7303149848727295,-1.7076023556749436,-1.5999635262861054
-1.7301640436257393,-1.7075968423672836,-1.5999635262861054
-1.730013102378749,-1.7075913290596236,-1.5999635262861054
-1.7298621611317588,-1.7075858157519634,-1.5999635262861054
-1.7297112198847686,-1.7075803024443035,-1.5999635262861054
-1.7295602786377784,-1.7075747891366435,-1.5999635262861054
-1.7294093373907882,-1.7075692758289835,-1.5999635262861054
-1.7292583961437977,-1.7075637625213234,-1.5999635262861054
-1.7291074548968075,-1.7075582492136634,-1.5999635262861054
-1.7289565136498173,-1.7075527359060034,-1.5999635262861054
-1.728805572402827,-1.7075472225983435,-1.5999635262861054
-1.7286546311558368,-1.7075417092906835,-1.5999635262861054
-1.7285036899088466,-1.7075361959830233,-1.5999635262861054
-1.7283527486618564,-1.7075306826753633,-1.5999635262861054
-1.7282018074148662,-1.7075251693677034,-1.5999635262861054
-1.7280508661678757,-1.7075196560600434,-1.5999635262861054
-1.7278999249208855,-1.7075141427523832,-1.5999635262861054
-1.7277489836738953,-1.7075086294447233,-1.5999635262861054
-1.727598042426905,-1.7075031161370633,-1.5999635262861054
-1.7274471011799148,-1.7074976028294033,-1.5999635262861054
-1.7272961599329246,-1.7071116712932022,-1.309569500945121
-1.7271452186859344,-1.7071061579855422,-1.309569500945121
-1.726994277438944,-1.707100644677882,-1.309569500945121
-1.7268433361919537,-1.707095131370222,-1.309569500945121
-1.7266923949449635,-1.707089618062562,-1.309569500945121
-1.7265414536979733,-1.7070841047549021,-1.309569500945121
-1.726390512450983,-1.707078591447242,-1.309569500945121
-1.7262395712039929,-1.707073078139582,-1.309569500945121
-1.7260886299570026,-1.707067564831922,-1.309569500945121
-1.7259376887100124,-1.707062051524262,-1.309569500945121
-1.725786747463022,-1.707056538216602,-1.309569500945121
-1.7256358062160317,-1.707051024908942,-1.309569500945121
-1.7254848649690415,-1.707045511601282,-1.309569500945121
-1.7253339237220513,-1.707039998293622,-1.309569500945121
-1.725182982475061,-1.707034484985962,-1.309569500945121
-1.7250320412280709,-1.7070289716783018,-1.309569500945121
-1.7248810999810806,-1.7070234583706418,-1.309569500945121
-1.7247301587340904,-1.7070179450629819,-1.309569500945121
-1.7245792174871,-1.707012431755322,-1.309569500945121
-1.7244282762401097,-1.707006918447662,-1.309569500945121
-1.7242773349931195,-1.7070014051400018,-1.309569500945121
-1.7241263937461293,-1.7069958918323418,-1.309569500945121
-1.723975452499139,-1.7069903785246818,-1.309569500945121
-1.7238245112521489,-1.7069848652170219,-1.309569500945121
-1.7236735700051586,-1.7069793519093617,-1.309569500945121
-1.7235226287581684,-1.7069738386017017,-1.309569500945121
-1.723371687511178,-1.7069683252940417,-1.309569500945121
-1.7232207462641878,-1.7069628119863818,-1.309569500945121
-1.7230698050171975,-1.7069572986787218,-1.309569500945121
-1.7229188637702073,-1.7065603405272005,-1.0191754756041365
-1.722767922523217,-1.7065548272195405,-1.0191754756041365
-1.7226169812762269,-1.7065493139118806,-1.0191754756041365
-1.7224660400292366,-1.7065438006042206,-1.0191754756041365
-1.7223150987822464,-1.7065382872965604,-1.0191754756041365
-1.722164157535256,-1.7065327739889005,-1.0191754756041365
-1.7220132162882658,-1.7065272606812405,-1.0191754756041365
-1.7218622750412755,-1.7065217473735805,-1.0191754756041365
-1.7217113337942853,-1.7065162340659203,-1.0191754756041365
-1.721560392547295,-1.7065107207582604,-1.0191754756041365
-1.7214094513003049,-1.7065052074506004,-1.0191754756041365
-1.7212585100533146,-1.7064996941429404,-1.0191754756041365
-1.7211075688063244,-1.7064941808352805,-1.0191754756041365
